config,city,task_id,req_type,req_level,p_req,strategy,regime,success,n_selected,p_commit,p_deliv,shortfall,ocr
A_corrected_base,City-A,T1,absolute,10x,1800.0,S5_CityCalib,routine,1.0,3,1880.0219463425788,1880.4041088550885,0.0,0.0
A_corrected_base,City-A,T1,absolute,10x,1800.0,S5_CityCalib,cross_regime,0.0,3,1880.0219463425788,1236.475287539312,563.5247124606881,0.3423080565922284
A_corrected_base,City-A,T1,absolute,10x,1800.0,S6_Q10,routine,1.0,3,1860.292144383813,1880.4041088550885,0.0,0.0
A_corrected_base,City-A,T1,absolute,10x,1800.0,S6_Q10,cross_regime,0.0,3,1860.292144383813,1236.475287539312,563.5247124606881,0.33533273724118673
A_corrected_base,City-A,T2,absolute,1x,260.0,S0a_RoutineOracle,routine,1.0,1,670.2201591193183,670.2201591193183,0.0,0.0
A_corrected_base,City-A,T2,absolute,1x,260.0,S0a_RoutineOracle,cross_regime,1.0,1,670.2201591193183,437.69868331345367,0.0,0.3469329781297569
A_corrected_base,City-A,T2,absolute,1x,260.0,S0b_StressOracle,routine,1.0,1,437.69868331345367,670.2201591193183,0.0,0.0
A_corrected_base,City-A,T2,absolute,1x,260.0,S0b_StressOracle,cross_regime,1.0,1,437.69868331345367,437.69868331345367,0.0,0.0
A_corrected_base,City-A,T2,absolute,1x,260.0,S1_CapRR,routine,1.0,1,678.17287,670.2201591193183,0.0,0.011726672110433593
A_corrected_base,City-A,T2,absolute,1x,260.0,S1_CapRR,cross_regime,1.0,1,678.17287,437.69868331345367,0.0,0.35459128096136655
A_corrected_base,City-A,T2,absolute,1x,260.0,S2_Platform,routine,1.0,1,441.11,670.2201591193183,0.0,0.0
A_corrected_base,City-A,T2,absolute,1x,260.0,S2_Platform,cross_regime,1.0,1,441.11,437.69868331345367,0.0,0.007733483000943852
A_corrected_base,City-A,T2,absolute,1x,260.0,S3_Lin4,routine,1.0,1,727.1324638494747,670.2201591193183,0.0,0.07826951423521909
A_corrected_base,City-A,T2,absolute,1x,260.0,S3_Lin4,cross_regime,1.0,1,727.1324638494747,437.69868331345367,0.0,0.398048216694582
A_corrected_base,City-A,T2,absolute,1x,260.0,S4_GlobalCalib,routine,1.0,1,675.1029752046192,670.2201591193183,0.0,0.007232698217365914
A_corrected_base,City-A,T2,absolute,1x,260.0,S4_GlobalCalib,cross_regime,1.0,1,675.1029752046192,437.69868331345367,0.0,0.35165641481465826
A_corrected_base,City-A,T2,absolute,1x,260.0,S5_CityCalib,routine,1.0,1,677.7365971148142,670.2201591193183,0.0,0.01109050039129376
A_corrected_base,City-A,T2,absolute,1x,260.0,S5_CityCalib,cross_regime,1.0,1,677.7365971148142,437.69868331345367,0.0,0.35417581819134986
A_corrected_base,City-A,T2,absolute,1x,260.0,S6_Q10,routine,1.0,1,666.9454500131686,670.2201591193183,0.0,0.0
A_corrected_base,City-A,T2,absolute,1x,260.0,S6_Q10,cross_regime,1.0,1,666.9454500131686,437.69868331345367,0.0,0.34372641225034006
A_corrected_base,City-A,T2,absolute,2x,520.0,S0a_RoutineOracle,routine,1.0,1,670.2201591193183,670.2201591193183,0.0,0.0
A_corrected_base,City-A,T2,absolute,2x,520.0,S0a_RoutineOracle,cross_regime,0.0,1,670.2201591193183,437.69868331345367,82.30131668654633,0.3469329781297569
A_corrected_base,City-A,T2,absolute,2x,520.0,S0b_StressOracle,routine,1.0,2,834.8117706450179,1278.5921377090856,0.0,0.0
A_corrected_base,City-A,T2,absolute,2x,520.0,S0b_StressOracle,cross_regime,1.0,2,834.8117706450179,834.8117706450179,0.0,0.0
A_corrected_base,City-A,T2,absolute,2x,520.0,S1_CapRR,routine,1.0,1,678.17287,670.2201591193183,0.0,0.011726672110433593
A_corrected_base,City-A,T2,absolute,2x,520.0,S1_CapRR,cross_regime,0.0,1,678.17287,437.69868331345367,82.30131668654633,0.35459128096136655
A_corrected_base,City-A,T2,absolute,2x,520.0,S2_Platform,routine,1.0,2,849.902,1278.5921377090856,0.0,0.0
A_corrected_base,City-A,T2,absolute,2x,520.0,S2_Platform,cross_regime,1.0,2,849.902,834.8117706450179,0.0,0.017755258082675616
A_corrected_base,City-A,T2,absolute,2x,520.0,S3_Lin4,routine,1.0,1,727.1324638494747,670.2201591193183,0.0,0.07826951423521909
A_corrected_base,City-A,T2,absolute,2x,520.0,S3_Lin4,cross_regime,0.0,1,727.1324638494747,437.69868331345367,82.30131668654633,0.398048216694582
A_corrected_base,City-A,T2,absolute,2x,520.0,S4_GlobalCalib,routine,1.0,1,675.1029752046192,670.2201591193183,0.0,0.007232698217365914
A_corrected_base,City-A,T2,absolute,2x,520.0,S4_GlobalCalib,cross_regime,0.0,1,675.1029752046192,437.69868331345367,82.30131668654633,0.35165641481465826
A_corrected_base,City-A,T2,absolute,2x,520.0,S5_CityCalib,routine,1.0,1,677.7365971148142,670.2201591193183,0.0,0.01109050039129376
