city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success
City-A,T2,2x,520.0,S2_Platform,routine,M_routine,800,True,2,849.9,444.9,75.1,0.4766,0.0
City-A,T2,2x,520.0,S2_Platform,cross_regime,M_stress,800,True,2,849.9,281.9,238.1,0.6683,0.0
City-A,T2,2x,520.0,S3_Lin4,routine,M_routine,800,True,2,560.2,453.9,66.1,0.1898,0.0
City-A,T2,2x,520.0,S3_Lin4,cross_regime,M_stress,800,True,2,560.2,316.7,203.3,0.4347,0.0
City-A,T2,2x,520.0,S4_GlobalCalib,routine,M_routine,800,True,2,630.9,444.9,75.1,0.2949,0.0
City-A,T2,2x,520.0,S4_GlobalCalib,cross_regime,M_stress,800,True,2,630.9,281.9,238.1,0.5531,0.0
City-A,T2,2x,520.0,S5_CityCalib,routine,M_routine,800,True,2,586.5,444.9,75.1,0.2414,0.0
City-A,T2,2x,520.0,S5_CityCalib,cross_regime,M_stress,800,True,2,586.5,281.9,238.1,0.5193,0.0
City-A,T2,2x,520.0,S6_Q10,routine,M_routine,800,True,5,623.7,1274.9,0.0,0.0,1.0
City-A,T2,2x,520.0,S6_Q10,cross_regime,M_stress,800,True,5,623.7,881.4,0.0,0.0,1.0
City-A,T2,5x,1300.0,S0a_RoutineOracle,routine,M_routine,800,True,5,1424.8,1424.8,0.0,0.0,1.0
City-A,T2,5x,1300.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,5,1424.8,1039.8,260.2,0.2702,0.0
City-A,T2,5x,1300.0,S0b_StressOracle,routine,M_routine,800,True,7,1465.4,1945.6,0.0,0.0,1.0
City-A,T2,5x,1300.0,S0b_StressOracle,cross_regime,M_stress,800,True,7,1465.4,1465.4,0.0,0.0,1.0
City-A,T2,5x,1300.0,S1_CapRR,routine,M_routine,800,True,3,1889.7,687.3,612.7,0.6363,0.0
City-A,T2,5x,1300.0,S1_CapRR,cross_regime,M_stress,800,True,3,1889.7,460.0,840.0,0.7566,0.0
City-A,T2,5x,1300.0,S2_Platform,routine,M_routine,800,True,4,1596.5,990.3,309.7,0.3797,0.0
City-A,T2,5x,1300.0,S2_Platform,cross_regime,M_stress,800,True,4,1596.5,669.6,630.4,0.5806,0.0
City-A,T2,5x,1300.0,S3_Lin4,routine,M_routine,800,True,6,1528.8,1351.2,0.0,0.1162,1.0
City-A,T2,5x,1300.0,S3_Lin4,cross_regime,M_stress,800,True,6,1528.8,936.3,363.7,0.3876,0.0
