stress_config,s_new,K_active,severity,scope,city,task_id,p_req_level,strategy,success,n_selected,p_commit,p_deliv,shortfall,ocr,seed_id
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T3,5x,S4_GlobalCalib,0.0,3,1217.2490164477786,716.9201511852905,283.0798488147095,0.41103246624307527,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T3,5x,S6_Q10,0.0,4,1062.2448329786337,972.6283176597251,27.3716823402749,0.08436521650815236,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T4,5x,S0a_RoutineOracle,0.0,2,1041.5583585595275,643.5656102145089,56.434389785491135,0.3821127688855011,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T4,5x,S0b_StressOracle_new,1.0,3,990.6653897243699,990.6653897243699,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T4,5x,S1_CapRR,0.0,1,737.04618,367.9950109917097,332.0049890082903,0.5007164802187705,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T4,5x,S4_GlobalCalib,0.0,2,960.9141251787518,652.7357467400186,47.26425325998139,0.32071375616567716,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T4,5x,S6_Q10,1.0,3,952.8748432797569,912.242767955201,0.0,0.04264156579546368,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T5,5x,S0a_RoutineOracle,0.0,2,827.3761097863031,479.5956143705528,320.4043856294472,0.4203414762671549,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T5,5x,S0b_StressOracle_new,1.0,3,1009.6456243414127,1009.6456243414127,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T5,5x,S1_CapRR,0.0,2,1266.8365755,691.214718312622,108.78528168737796,0.45437735878456875,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T5,5x,S4_GlobalCalib,0.0,2,839.2535328758773,691.214718312622,108.78528168737796,0.17639343626707107,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T5,5x,S6_Q10,1.0,3,833.7445644163405,935.8800875559662,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T1,5x,S0a_RoutineOracle,0.0,2,946.5585078188111,575.0006817329944,324.9993182670056,0.3925355094446415,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T1,5x,S0b_StressOracle_new,1.0,3,1089.4475397531796,1089.4475397531796,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T1,5x,S1_CapRR,0.0,2,1293.3561519999998,683.8712060905876,216.12879390941237,0.47124293255722827,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T1,5x,S4_GlobalCalib,1.0,3,1253.8860878440246,1039.8128549952028,0.0,0.1707278156478367,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T1,5x,S6_Q10,1.0,4,1123.6927734373037,1309.603371895087,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T2,5x,S0a_RoutineOracle,0.0,3,1327.7473122104284,858.7570646297767,441.24293537022334,0.353222517016343,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T2,5x,S0b_StressOracle_new,1.0,5,1538.971632196704,1538.971632196704,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T2,5x,S1_CapRR,0.0,3,1889.6612019999998,938.5034507959399,361.4965492040601,0.5033482987306738,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T2,5x,S4_GlobalCalib,0.0,4,1651.997202851647,1195.6568004332241,104.34319956677587,0.27623557814183736,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T2,5x,S6_Q10,1.0,5,1390.7141892604493,1451.3746525854035,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T3,5x,S0a_RoutineOracle,0.0,3,1234.949289042793,749.2349013010477,250.76509869895233,0.3933071520031577,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T3,5x,S0b_StressOracle_new,1.0,4,1217.465568351253,1217.465568351253,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-A,T3,5x,S1_CapRR,0.0,2,1138.1160166,714.4432111116402,285.55678888835985,0.3722580117570413,0
