config_name,seed_id,mean,std,dist,persistence,tsr_routine_5x_S0a_RoutineOracle,ocr_routine_5x_S0a_RoutineOracle,nsel_routine_5x_S0a_RoutineOracle,tsr_routine_5x_S1_CapRR,ocr_routine_5x_S1_CapRR,nsel_routine_5x_S1_CapRR,tsr_routine_5x_S3_Lin4,ocr_routine_5x_S3_Lin4,nsel_routine_5x_S3_Lin4,tsr_routine_5x_S4_GlobalCalib,ocr_routine_5x_S4_GlobalCalib,nsel_routine_5x_S4_GlobalCalib,tsr_routine_5x_S6_Q10,ocr_routine_5x_S6_Q10,nsel_routine_5x_S6_Q10,tsr_routine_10x_S0a_RoutineOracle,ocr_routine_10x_S0a_RoutineOracle,nsel_routine_10x_S0a_RoutineOracle,tsr_routine_10x_S1_CapRR,ocr_routine_10x_S1_CapRR,nsel_routine_10x_S1_CapRR,tsr_routine_10x_S3_Lin4,ocr_routine_10x_S3_Lin4,nsel_routine_10x_S3_Lin4,tsr_routine_10x_S4_GlobalCalib,ocr_routine_10x_S4_GlobalCalib,nsel_routine_10x_S4_GlobalCalib,tsr_routine_10x_S6_Q10,ocr_routine_10x_S6_Q10,nsel_routine_10x_S6_Q10,tsr_cross_regime_5x_S0a_RoutineOracle,ocr_cross_regime_5x_S0a_RoutineOracle,nsel_cross_regime_5x_S0a_RoutineOracle,tsr_cross_regime_5x_S1_CapRR,ocr_cross_regime_5x_S1_CapRR,nsel_cross_regime_5x_S1_CapRR,tsr_cross_regime_5x_S3_Lin4,ocr_cross_regime_5x_S3_Lin4,nsel_cross_regime_5x_S3_Lin4,tsr_cross_regime_5x_S4_GlobalCalib,ocr_cross_regime_5x_S4_GlobalCalib,nsel_cross_regime_5x_S4_GlobalCalib,tsr_cross_regime_5x_S6_Q10,ocr_cross_regime_5x_S6_Q10,nsel_cross_regime_5x_S6_Q10,tsr_cross_regime_10x_S0a_RoutineOracle,ocr_cross_regime_10x_S0a_RoutineOracle,nsel_cross_regime_10x_S0a_RoutineOracle,tsr_cross_regime_10x_S1_CapRR,ocr_cross_regime_10x_S1_CapRR,nsel_cross_regime_10x_S1_CapRR,tsr_cross_regime_10x_S3_Lin4,ocr_cross_regime_10x_S3_Lin4,nsel_cross_regime_10x_S3_Lin4,tsr_cross_regime_10x_S4_GlobalCalib,ocr_cross_regime_10x_S4_GlobalCalib,nsel_cross_regime_10x_S4_GlobalCalib,tsr_cross_regime_10x_S6_Q10,ocr_cross_regime_10x_S6_Q10,nsel_cross_regime_10x_S6_Q10,M_routine_mean,rho_lin4,rho_caprr
std_0.1,1,0.67,0.1,beta,none,100.0,0.0,2.3333333333333335,33.33333333333333,0.3482933333333334,1.9333333333333333,100.0,0.03440666666666667,2.7333333333333334,100.0,0.028459999999999996,2.6,100.0,0.0,3.066666666666667,100.0,0.0,4.666666666666667,0.0,0.33512,3.2666666666666666,100.0,0.01916666666666667,5.133333333333334,93.33333333333333,0.031713333333333336,5.0,100.0,0.0,6.133333333333334,6.666666666666667,0.40303999999999995,2.3333333333333335,0.0,0.5700266666666667,1.9333333333333333,6.666666666666667,0.34329333333333334,2.7333333333333334,20.0,0.3526666666666667,2.6,33.33333333333333,0.19466,3.066666666666667,0.0,0.39199333333333336,4.666666666666667,0.0,0.5701933333333334,3.2666666666666666,6.666666666666667,0.31884000000000007,5.133333333333334,0.0,0.34924666666666665,5.0,6.666666666666667,0.18840666666666667,6.133333333333334,135.27,0.954,0.954
std_0.1,2,0.67,0.1,beta,none,100.0,0.0,2.4,46.666666666666664,0.29958,1.9333333333333333,86.66666666666667,0.038293333333333325,2.6666666666666665,93.33333333333333,0.02189333333333333,2.6,100.0,0.0,3.066666666666667,100.0,0.0,4.533333333333333,13.333333333333334,0.31334,3.2666666666666666,100.0,0.022453333333333332,5.133333333333334,93.33333333333333,0.024360000000000003,5.0,100.0,0.0,6.133333333333334,6.666666666666667,0.4117266666666667,2.4,0.0,0.5707266666666667,1.9333333333333333,6.666666666666667,0.30883333333333335,2.6666666666666665,6.666666666666667,0.3510133333333333,2.6,33.33333333333333,0.18924,3.066666666666667,0.0,0.40673333333333334,4.533333333333333,0.0,0.5633866666666666,3.2666666666666666,6.666666666666667,0.32303999999999994,5.133333333333334,0.0,0.3405933333333333,5.0,13.333333333333334,0.17901999999999996,6.133333333333334,135.7,0.953,0.953
std_0.1,3,0.67,0.1,beta,none,100.0,0.0,2.466666666666667,33.33333333333333,0.35292,1.9333333333333333,93.33333333333333,0.030459999999999997,2.7333333333333334,100.0,0.04008,2.6,100.0,0.0,3.066666666666667,100.0,0.0,4.733333333333333,0.0,0.35472,3.2666666666666666,100.0,0.023606666666666665,5.2,100.0,0.02688,5.0,100.0,0.0,6.133333333333334,6.666666666666667,0.40235333333333334,2.466666666666667,0.0,0.5612466666666668,1.9333333333333333,0.0,0.35025999999999996,2.7333333333333334,13.333333333333334,0.33259333333333335,2.6,33.33333333333333,0.18485333333333334,3.066666666666667,0.0,0.3904333333333333,4.733333333333333,0.0,0.5656266666666667,3.2666666666666666,0.0,0.32243333333333335,5.2,0.0,0.3440666666666666,5.0,6.666666666666667,0.1848666666666667,6.133333333333334,135.27,0.952,0.952
std_0.1,4,0.67,0.1,beta,none,100.0,0.0,2.3333333333333335,53.333333333333336,0.3534466666666667,1.9333333333333333,93.33333333333333,0.03475333333333334,2.7333333333333334,100.0,0.04243333333333333,2.6,100.0,0.0,3.066666666666667,100.0,0.0,4.533333333333333,6.666666666666667,0.33669333333333323,3.2666666666666666,93.33333333333333,0.016546666666666668,5.2,93.33333333333333,0.03882,4.933333333333334,100.0,0.0,6.133333333333334,6.666666666666667,0.42422000000000004,2.3333333333333335,0.0,0.5781066666666667,1.9333333333333333,13.333333333333334,0.33597333333333335,2.7333333333333334,6.666666666666667,0.3634866666666667,2.6,33.33333333333333,0.19764666666666666,3.066666666666667,0.0,0.41739999999999994,4.533333333333333,0.0,0.5707000000000001,3.2666666666666666,6.666666666666667,0.31972,5.2,0.0,0.36755333333333334,4.933333333333334,13.333333333333334,0.20393333333333336,6.133333333333334,135.59,0.955,0.955
std_0.1,5,0.67,0.1,beta,none,100.0,0.0,2.4,40.0,0.32321333333333335,1.9333333333333333,86.66666666666667,0.034666666666666665,2.7333333333333334,86.66666666666667,0.041813333333333334,2.6,93.33333333333333,0.00228,3.066666666666667,100.0,0.0,4.6,0.0,0.3251666666666667,3.2666666666666666,86.66666666666667,0.0182,5.2,86.66666666666667,0.029893333333333334,5.0,100.0,0.0,6.133333333333334,6.666666666666667,0.40056666666666657,2.4,0.0,0.5688600000000001,1.9333333333333333,6.666666666666667,0.31788666666666665,2.7333333333333334,20.0,0.36158666666666667,2.6,40.0,0.18978666666666666,3.066666666666667,0.0,0.3932866666666666,4.6,0.0,0.5675866666666667,3.2666666666666666,6.666666666666667,0.3240333333333333,5.2,0.0,0.34567333333333333,5.0,6.666666666666667,0.18166666666666667,6.133333333333334,135.53,0.953,0.953
std_0.1,6,0.67,0.1,beta,none,100.0,0.0,2.3333333333333335,53.333333333333336,0.32848666666666665,1.9333333333333333,93.33333333333333,0.026313333333333334,2.7333333333333334,93.33333333333333,0.03582,2.6,100.0,0.0,3.1333333333333333,100.0,0.0,4.533333333333333,0.0,0.3384933333333333,3.2666666666666666,93.33333333333333,0.021666666666666667,5.133333333333334,93.33333333333333,0.01904,5.0,100.0,0.0,6.133333333333334,0.0,0.3996666666666667,2.3333333333333335,0.0,0.5480400000000001,1.9333333333333333,6.666666666666667,0.31518,2.7333333333333334,13.333333333333334,0.3150199999999999,2.6,46.666666666666664,0.14912666666666666,3.1333333333333333,0.0,0.39362,4.533333333333333,0.0,0.5469666666666667,3.2666666666666666,0.0,0.29685333333333336,5.133333333333334,0.0,0.3280933333333333,5.0,6.666666666666667,0.16262666666666667,6.133333333333334,135.15,0.953,0.953
std_0.1,7,0.67,0.1,beta,none,100.0,0.0,2.466666666666667,40.0,0.35884,1.9333333333333333,93.33333333333333,0.027753333333333335,2.7333333333333334,93.33333333333333,0.057593333333333344,2.6,100.0,0.011973333333333334,3.066666666666667,100.0,0.0,4.6,0.0,0.3460533333333334,3.2666666666666666,86.66666666666667,0.0233,5.2,80.0,0.04481333333333333,5.0,100.0,0.0005533333333333333,6.133333333333334,13.333333333333334,0.3968933333333334,2.466666666666667,0.0,0.5707333333333334,1.9333333333333333,26.666666666666668,0.28541999999999995,2.7333333333333334,13.333333333333334,0.35304,2.6,53.333333333333336,0.1907066666666667,3.066666666666667,0.0,0.3946266666666666,4.6,0.0,0.5654199999999999,3.2666666666666666,6.666666666666667,0.3145266666666667,5.2,0.0,0.3420466666666667,5.0,6.666666666666667,0.17453333333333335,6.133333333333334,135.56,0.953,0.953
std_0.1,8,0.67,0.1,beta,none,100.0,0.0,2.3333333333333335,46.666666666666664,0.3118266666666667,1.9333333333333333,100.0,0.022793333333333336,2.7333333333333334,93.33333333333333,0.026546666666666666,2.6,100.0,0.0,3.066666666666667,100.0,0.0,4.533333333333333,0.0,0.31574,3.2666666666666666,100.0,0.01512,5.133333333333334,93.33333333333333,0.014680000000000002,5.0,100.0,0.0,6.133333333333334,6.666666666666667,0.43639999999999995,2.3333333333333335,0.0,0.578,1.9333333333333333,13.333333333333334,0.3298,2.7333333333333334,6.666666666666667,0.35291333333333336,2.6,33.33333333333333,0.18475999999999998,3.066666666666667,0.0,0.41031333333333336,4.533333333333333,0.0,0.56958,3.2666666666666666,6.666666666666667,0.32216000000000006,5.133333333333334,0.0,0.34862000000000004,5.0,6.666666666666667,0.18758666666666668,6.133333333333334,134.92,0.952,0.952
std_0.1,9,0.67,0.1,beta,none,100.0,0.0,2.4,33.33333333333333,0.3496533333333333,1.9333333333333333,86.66666666666667,0.05443333333333333,2.7333333333333334,86.66666666666667,0.047413333333333335,2.6,93.33333333333333,0.01152,3.1333333333333333,100.0,0.0,4.4,0.0,0.34884000000000004,3.2666666666666666,93.33333333333333,0.021006666666666667,5.133333333333334,100.0,0.030246666666666665,5.0,100.0,0.0,6.133333333333334,6.666666666666667,0.4250866666666668,2.4,0.0,0.5812333333333334,1.9333333333333333,20.0,0.3084066666666667,2.7333333333333334,13.333333333333334,0.35259333333333337,2.6,46.666666666666664,0.17979333333333336,3.1333333333333333,0.0,0.40659333333333336,4.4,0.0,0.56574,3.2666666666666666,6.666666666666667,0.31118,5.133333333333334,0.0,0.35624,5.0,13.333333333333334,0.18012666666666666,6.133333333333334,135.31,0.952,0.952
std_0.2,0,0.67,0.2,beta,none,100.0,0.0,2.2,46.666666666666664,0.34965999999999997,1.9333333333333333,80.0,0.05700000000000001,2.6666666666666665,73.33333333333333,0.09116,2.6,100.0,0.0,4.2,100.0,0.0,4.133333333333334,13.333333333333334,0.3287333333333333,3.2666666666666666,73.33333333333333,0.06626666666666665,5.133333333333334,73.33333333333333,0.07564666666666665,5.0,100.0,0.0,8.866666666666667,0.0,0.5056800000000001,2.2,6.666666666666667,0.54248,1.9333333333333333,33.33333333333333,0.29511333333333334,2.6666666666666665,26.666666666666668,0.31392000000000003,2.6,93.33333333333333,0.0078066666666666675,4.2,0.0,0.4674333333333334,4.133333333333334,0.0,0.5532333333333334,3.2666666666666666,6.666666666666667,0.31367999999999996,5.133333333333334,0.0,0.32514000000000004,5.0,100.0,0.0017533333333333333,8.866666666666667,135.06,0.813,0.813
std_0.2,1,0.67,0.2,beta,none,100.0,0.0,2.066666666666667,60.0,0.2658666666666667,1.9333333333333333,80.0,0.060919999999999995,2.7333333333333334,93.33333333333333,0.041273333333333335,2.6,100.0,0.0,4.133333333333334,100.0,0.0,4.2,20.0,0.2779066666666667,3.2666666666666666,73.33333333333333,0.05094,5.2,80.0,0.052673333333333336,5.0,100.0,0.0,8.733333333333333,0.0,0.48241333333333336,2.066666666666667,0.0,0.5985933333333335,1.9333333333333333,6.666666666666667,0.3760266666666666,2.7333333333333334,6.666666666666667,0.38869333333333334,2.6,86.66666666666667,0.04977333333333334,4.133333333333334,0.0,0.46985333333333323,4.2,0.0,0.5923466666666666,3.2666666666666666,6.666666666666667,0.3354533333333334,5.2,0.0,0.37112,5.0,86.66666666666667,0.018613333333333332,8.733333333333333,134.91,0.813,0.813
std_0.2,2,0.67,0.2,beta,none,100.0,0.0,2.2,66.66666666666666,0.3176266666666667,1.9333333333333333,86.66666666666667,0.05108666666666666,2.6666666666666665,86.66666666666667,0.054506666666666675,2.533333333333333,100.0,0.0,4.133333333333334,100.0,0.0,4.133333333333334,13.333333333333334,0.33508,3.2666666666666666,93.33333333333333,0.031106666666666668,5.066666666666666,73.33333333333333,0.04680666666666666,4.866666666666666,100.0,0.0,8.733333333333333,0.0,0.509,2.2,0.0,0.5774866666666667,1.9333333333333333,13.333333333333334,0.29356666666666664,2.6666666666666665,6.666666666666667,0.3680133333333334,2.533333333333333,93.33333333333333,0.008846666666666666,4.133333333333334,0.0,0.47142000000000006,4.133333333333334,0.0,0.5622533333333333,3.2666666666666666,0.0,0.3210266666666667,5.066666666666666,0.0,0.33780666666666664,4.866666666666666,93.33333333333333,0.0035066666666666666,8.733333333333333,135.69,0.822,0.822
std_0.2,3,0.67,0.2,beta,none,100.0,0.0,2.2666666666666666,40.0,0.40051333333333333,1.9333333333333333,86.66666666666667,0.03478666666666667,2.7333333333333334,73.33333333333333,0.12396666666666668,2.6,100.0,0.0,4.133333333333334,100.0,0.0,4.2,6.666666666666667,0.3628533333333333,3.2666666666666666,86.66666666666667,0.029206666666666662,5.2,73.33333333333333,0.06838666666666665,5.0,100.0,0.0,8.733333333333333,0.0,0.5129266666666668,2.2666666666666666,6.666666666666667,0.5540866666666667,1.9333333333333333,6.666666666666667,0.3784133333333334,2.7333333333333334,26.666666666666668,0.31151999999999996,2.6,86.66666666666667,0.021813333333333334,4.133333333333334,0.0,0.5210199999999999,4.2,0.0,0.5625199999999999,3.2666666666666666,0.0,0.3301666666666667,5.2,0.0,0.3392466666666667,5.0,93.33333333333333,0.01176,8.733333333333333,134.84,0.809,0.809
std_0.2,4,0.67,0.2,beta,none,100.0,0.0,2.2,40.0,0.37371333333333323,1.9333333333333333,86.66666666666667,0.06374666666666666,2.7333333333333334,73.33333333333333,0.12670666666666666,2.6,100.0,0.0,4.133333333333334,100.0,0.0,4.133333333333334,6.666666666666667,0.38852666666666663,3.2666666666666666,73.33333333333333,0.06076,5.2,60.0,0.08673333333333333,5.0,100.0,0.0,8.733333333333333,0.0,0.5481933333333334,2.2,0.0,0.5893933333333333,1.9333333333333333,20.0,0.3499999999999999,2.7333333333333334,13.333333333333334,0.36556,2.6,86.66666666666667,0.035513333333333334,4.133333333333334,0.0,0.49463333333333337,4.133333333333334,0.0,0.5771133333333333,3.2666666666666666,0.0,0.31215333333333334,5.2,0.0,0.3882,5.0,86.66666666666667,0.006753333333333334,8.733333333333333,134.95,0.818,0.818
std_0.2,5,0.67,0.2,beta,none,100.0,0.0,2.2,60.0,0.2558133333333334,1.9333333333333333,86.66666666666667,0.06748,2.6666666666666665,100.0,0.016006666666666666,2.6,100.0,0.0,4.133333333333334,100.0,0.0,4.133333333333334,0.0,0.30107333333333325,3.2666666666666666,80.0,0.032826666666666664,5.2,73.33333333333333,0.053939999999999995,5.0,100.0,0.0,8.733333333333333,0.0,0.47684,2.2,0.0,0.5657133333333333,1.9333333333333333,6.666666666666667,0.3209266666666667,2.6666666666666665,20.0,0.37135333333333337,2.6,86.66666666666667,0.027286666666666667,4.133333333333334,0.0,0.4656399999999999,4.133333333333334,0.0,0.5653266666666666,3.2666666666666666,6.666666666666667,0.32828666666666667,5.2,6.666666666666667,0.34451333333333334,5.0,93.33333333333333,0.007093333333333333,8.733333333333333,136.15,0.821,0.821
