city,task_id,p_req_level,p_req,strategy,regime,pool_size,n_selected,p_commit,p_deliv,shortfall,ocr,success
City-A,T4,5x,700.0,S4_GlobalCalib,stress,800,4,827.4907906976933,698.3869287695209,1.613071230479136,0.15601848791491615,0.0
City-A,T4,5x,700.0,S5_CityCalib,routine,800,4,779.5100385147712,1034.3500000000001,0.0,0.0,1.0
City-A,T4,5x,700.0,S5_CityCalib,stress,800,4,779.5100385147712,698.3869287695209,1.613071230479136,0.10406935861893082,0.0
City-A,T4,5x,700.0,S6_Q10,routine,800,9,742.6935632905703,2089.477,0.0,0.0,1.0
City-A,T4,5x,700.0,S6_Q10,stress,800,9,742.6935632905703,1388.1970808442213,0.0,0.0,1.0
City-A,T4,10x,1400.0,S0_Oracle,routine,800,6,1475.278,1475.278,0.0,0.0,1.0
City-A,T4,10x,1400.0,S0_Oracle,stress,800,6,1475.278,986.6523325872541,413.34766741274586,0.3312092144075529,0.0
City-A,T4,10x,1400.0,S1_CapOnly,routine,800,3,1889.6612019999998,562.616,837.384,0.7022662054951795,0.0
City-A,T4,10x,1400.0,S1_CapOnly,stress,800,3,1889.6612019999998,388.84637560431844,1011.1536243956816,0.7942242899453261,0.0
City-A,T4,10x,1400.0,S2_Platform,routine,800,5,1424.1570000000002,1242.4560000000001,157.54399999999987,0.1275849502547823,0.0
City-A,T4,10x,1400.0,S2_Platform,stress,800,5,1424.1570000000002,834.4403436737529,565.5596563262471,0.4140812117808972,0.0
City-A,T4,10x,1400.0,S3_Linear4,routine,800,6,1529.4030681909467,956.965,443.03499999999997,0.3742885574749465,0.0
City-A,T4,10x,1400.0,S3_Linear4,stress,800,6,1529.4030681909467,646.709111354527,753.290888645473,0.5771493304773565,0.0
City-A,T4,10x,1400.0,S4_GlobalCalib,routine,800,8,1561.431391479348,1872.262,0.0,0.0,1.0
City-A,T4,10x,1400.0,S4_GlobalCalib,stress,800,8,1561.431391479348,1246.1884769672415,153.8115230327585,0.20189354218979522,0.0
City-A,T4,10x,1400.0,S5_CityCalib,routine,800,8,1472.4840677949455,1872.262,0.0,0.0,1.0
City-A,T4,10x,1400.0,S5_CityCalib,stress,800,8,1472.4840677949455,1246.1884769672415,153.8115230327585,0.1536828790049886,0.0
City-A,T4,10x,1400.0,S6_Q10,routine,800,19,1421.5932000863636,3907.488,0.0,0.0,1.0
City-A,T4,10x,1400.0,S6_Q10,stress,800,19,1421.5932000863636,2577.328580436981,0.0,0.0,1.0
City-A,T5,1x,160.0,S0_Oracle,routine,800,1,375.785,375.785,0.0,0.0,1.0
City-A,T5,1x,160.0,S0_Oracle,stress,800,1,375.785,245.69721607601653,0.0,0.3461760951713972,1.0
