seed_id,city,task_id,strategy,req_level,k,topk_overlap,capacity_regret,cap_strat,cap_oracle
1,City-B,T4,S1_CapRR,2x,1,0.0,0.2916695147019195,443.4141680192603,625.9989894867538
1,City-B,T4,S1_CapRR,5x,1,0.0,0.2916695147019195,443.4141680192603,625.9989894867538
1,City-B,T4,S1_CapRR,10x,2,0.5,0.12136245065930007,1069.4131575060142,1217.126627821069
1,City-B,T4,S4_GlobalCalib,1x,1,0.0,0.2916695147019195,443.4141680192603,625.9989894867538
1,City-B,T4,S4_GlobalCalib,2x,1,0.0,0.2916695147019195,443.4141680192603,625.9989894867538
1,City-B,T4,S4_GlobalCalib,5x,2,0.5,0.12136245065930007,1069.4131575060142,1217.126627821069
1,City-B,T4,S4_GlobalCalib,10x,3,0.6666666666666666,0.07421974594232439,1660.540795840329,1793.6662491581703
1,City-B,T5,S1_CapRR,1x,1,0.0,0.38882839297652794,309.1244277757192,505.78990290667616
1,City-B,T5,S1_CapRR,2x,1,0.0,0.38882839297652794,309.1244277757192,505.78990290667616
1,City-B,T5,S1_CapRR,5x,2,0.5,0.17136881705943896,814.9143306823953,983.446372112755
1,City-B,T5,S1_CapRR,10x,3,0.6666666666666666,0.11607853950752678,1283.3473683672767,1451.8794097976363
1,City-B,T5,S4_GlobalCalib,1x,1,0.0,0.38882839297652794,309.1244277757192,505.78990290667616
1,City-B,T5,S4_GlobalCalib,2x,1,0.0,0.38882839297652794,309.1244277757192,505.78990290667616
1,City-B,T5,S4_GlobalCalib,5x,2,0.5,0.17136881705943896,814.9143306823953,983.446372112755
1,City-B,T5,S4_GlobalCalib,10x,4,0.75,0.04936464104078053,1761.0038375733554,1852.449333992109
1,City-C,T1,S1_CapRR,1x,1,0.0,0.3491998360937324,361.7924722038846,555.9194546484352
1,City-C,T1,S1_CapRR,2x,1,0.0,0.3491998360937324,361.7924722038846,555.9194546484352
1,City-C,T1,S1_CapRR,5x,2,0.5,0.1692014499089448,917.7119268523198,1104.6142614858186
1,City-C,T1,S1_CapRR,10x,3,0.6666666666666666,0.11326566291140272,1463.2211876178567,1650.1235222513553
1,City-C,T1,S4_GlobalCalib,1x,1,0.0,0.3491998360937324,361.7924722038846,555.9194546484352
1,City-C,T1,S4_GlobalCalib,2x,1,0.0,0.3491998360937324,361.7924722038846,555.9194546484352
1,City-C,T1,S4_GlobalCalib,5x,2,0.5,0.1692014499089448,917.7119268523198,1104.6142614858186
1,City-C,T1,S4_GlobalCalib,10x,5,0.6,0.08080224884851461,2349.0889655266374,2555.5860668544037
1,City-C,T2,S1_CapRR,1x,1,0.0,0.37097586025632423,296.1861979020524,470.86618650716144
1,City-C,T2,S1_CapRR,2x,1,0.0,0.37097586025632423,296.1861979020524,470.86618650716144
1,City-C,T2,S1_CapRR,5x,2,0.5,0.1595762510496076,767.0523844092138,912.6971784973803
1,City-C,T2,S1_CapRR,10x,4,0.25,0.1452167833291863,1479.7828055301447,1731.1790599885223
1,City-C,T2,S4_GlobalCalib,1x,1,0.0,0.37097586025632423,296.1861979020524,470.86618650716144
