seed_id,city,task_id,strategy,success,n_selected,p_commit,p_deliv,shortfall,ocr,unused_deliv,pool_fraction
4,City-A,T4,Q05,1.0,3,764.6165669660852,1285.6104881191363,0.0,0.0,585.6104881191363,0.00375
4,City-A,T4,Q10,1.0,3,877.7476222069716,1285.6104881191363,0.0,0.0,585.6104881191363,0.00375
4,City-A,T4,Q20,1.0,3,1014.5889944561181,1285.6104881191363,0.0,0.0,585.6104881191363,0.00375
4,City-A,T4,Q30,1.0,2,765.9841867099012,861.6516291249015,0.0,0.0,161.65162912490155,0.0025
4,City-A,T5,S1_CapRR,1.0,2,1138.1160166,854.326559683821,0.0,0.24935020048656348,54.32655968382096,0.0025
4,City-A,T5,S4_GlobalCalib,1.0,3,1118.56590156861,1196.1285187104536,0.0,0.0,396.1285187104536,0.00375
4,City-A,T5,S7_Isotonic,1.0,2,808.228709516147,854.326559683821,0.0,0.0,54.32655968382096,0.0025
4,City-A,T5,S8_ConformalLCB,1.0,3,959.8300663983842,1196.1285187104536,0.0,0.0,396.1285187104536,0.00375
4,City-A,T5,Q05,1.0,4,878.0390135388834,1544.3574057684498,0.0,0.0,744.3574057684498,0.005
4,City-A,T5,Q10,1.0,4,1003.3164130298262,1544.3574057684498,0.0,0.0,744.3574057684498,0.005
4,City-A,T5,Q20,1.0,3,888.9730082890746,1196.1285187104536,0.0,0.0,396.1285187104536,0.00375
4,City-A,T5,Q30,1.0,3,979.5197519461183,1196.1285187104536,0.0,0.0,396.1285187104536,0.00375
4,City-B,T1,S1_CapRR,1.0,2,1687.96367,1124.7254828293615,0.0,0.33367909344318925,224.72548282936145,0.004
4,City-B,T1,S4_GlobalCalib,1.0,2,1139.944060845647,1124.7254828293615,0.0,0.01335028492976751,224.72548282936145,0.004
4,City-B,T1,S7_Isotonic,1.0,2,1179.9483511439566,1124.7254828293615,0.0,0.04680108943841209,224.72548282936145,0.004
4,City-B,T1,S8_ConformalLCB,1.0,2,1037.7340002590518,1124.7254828293615,0.0,0.0,224.72548282936145,0.004
4,City-B,T1,Q05,1.0,3,1015.779892979594,1845.223403132356,0.0,0.0,945.223403132356,0.006
4,City-B,T1,Q10,1.0,3,1164.455291283526,1845.223403132356,0.0,0.0,945.223403132356,0.006
4,City-B,T1,Q20,1.0,2,908.621176891323,1124.7254828293615,0.0,0.0,224.72548282936145,0.004
4,City-B,T1,Q30,1.0,2,998.5137469443353,1124.7254828293615,0.0,0.0,224.72548282936145,0.004
4,City-B,T2,S1_CapRR,1.0,2,1687.96367,1400.7076297389676,0.0,0.1701790419820069,100.70762973896763,0.003992015968063872
4,City-B,T2,S4_GlobalCalib,1.0,3,1694.1730638425015,1862.680260460759,0.0,0.0,562.680260460759,0.005988023952095809
4,City-B,T2,S7_Isotonic,1.0,3,1657.2110941471224,2067.1218566729767,0.0,0.0,767.1218566729767,0.005988023952095809
4,City-B,T2,S8_ConformalLCB,1.0,3,1545.7197531507677,1862.680260460759,0.0,0.0,562.680260460759,0.005988023952095809
4,City-B,T2,Q05,1.0,4,1344.2467895327848,2529.0944873947683,0.0,0.0,1229.0944873947683,0.007984031936127744
4,City-B,T2,Q10,1.0,4,1539.3782650483918,2529.0944873947683,0.0,0.0,1229.0944873947683,0.007984031936127744
4,City-B,T2,Q20,1.0,3,1348.782118276631,1862.680260460759,0.0,0.0,562.680260460759,0.005988023952095809
4,City-B,T2,Q30,1.0,3,1482.2583718116953,1862.680260460759,0.0,0.0,562.680260460759,0.005988023952095809
4,City-B,T3,S1_CapRR,1.0,2,1485.4080295999997,1163.6353953837684,0.0,0.21662238779123902,163.63539538376835,0.004
4,City-B,T3,S4_GlobalCalib,1.0,2,1000.6789192187905,1163.6353953837684,0.0,0.0,163.63539538376835,0.004
4,City-B,T3,S7_Isotonic,1.0,2,1138.3134946400419,1163.6353953837684,0.0,0.0,163.63539538376835,0.004
4,City-B,T3,S8_ConformalLCB,1.0,3,1325.0616318878672,1530.2693268318806,0.0,0.0,530.2693268318806,0.006
4,City-B,T3,Q05,1.0,4,1173.3119881322643,2101.3159233243264,0.0,0.0,1101.3159233243264,0.008
4,City-B,T3,Q10,1.0,3,1024.4049863864725,1530.2693268318806,0.0,0.0,530.2693268318806,0.006
4,City-B,T3,Q20,1.0,3,1181.100830290792,1530.2693268318806,0.0,0.0,530.2693268318806,0.006
4,City-B,T3,Q30,1.0,3,1300.6118012257868,1530.2693268318806,0.0,0.0,530.2693268318806,0.006
4,City-B,T4,S1_CapRR,0.0,1,846.0108700000001,553.8705728953119,146.12942710468815,0.34531506327417305,0.0,0.002
4,City-B,T4,S4_GlobalCalib,1.0,2,1144.160029362204,959.1890725489454,0.0,0.16166528463362606,259.18907254894543,0.004
4,City-B,T4,S7_Isotonic,1.0,2,1262.7165562841647,959.1890725489454,0.0,0.24037657716979574,259.18907254894543,0.004
4,City-B,T4,S8_ConformalLCB,1.0,2,1044.0113581256023,959.1890725489454,0.0,0.08124651606180337,259.18907254894543,0.004
4,City-B,T4,Q05,1.0,3,1013.3955786432673,1418.5405145136272,0.0,0.0,718.5405145136272,0.006
4,City-B,T4,Q10,1.0,2,784.059119246421,959.1890725489454,0.0,0.0,259.18907254894543,0.004
4,City-B,T4,Q20,1.0,2,906.2943985996907,959.1890725489454,0.0,0.0,259.18907254894543,0.004
4,City-B,T4,Q30,1.0,2,999.6886603596643,959.1890725489454,0.0,0.040512200864765265,259.18907254894543,0.004
4,City-B,T5,S1_CapRR,1.0,2,1485.4080295999997,937.7136727897696,0.0,0.3687164374341755,137.7136727897696,0.004
4,City-B,T5,S4_GlobalCalib,1.0,2,1000.3806708476068,937.7136727897696,0.0,0.06264315163620708,137.7136727897696,0.004
4,City-B,T5,S7_Isotonic,1.0,2,1173.0903680272356,937.7136727897696,0.0,0.20064668643839834,137.7136727897696,0.004
4,City-B,T5,S8_ConformalLCB,1.0,2,896.2511657132778,937.7136727897696,0.0,0.0,137.7136727897696,0.004
4,City-B,T5,Q05,1.0,3,889.5683995337222,1489.324468995865,0.0,0.0,689.3244689958649,0.006
4,City-B,T5,Q10,1.0,3,1016.4907959700046,1489.324468995865,0.0,0.0,689.3244689958649,0.006
4,City-B,T5,Q20,1.0,3,1178.2131405899324,1489.324468995865,0.0,0.0,689.3244689958649,0.006
4,City-B,T5,Q30,1.0,2,874.9880337015388,937.7136727897696,0.0,0.0,137.7136727897696,0.004
4,City-C,T1,S1_CapRR,1.0,2,1439.5386200000003,1134.8088828586492,0.0,0.21168569770038612,234.8088828586492,0.003076923076923077
4,City-C,T1,S4_GlobalCalib,1.0,2,971.6764643685033,1134.8088828586492,0.0,0.0,234.8088828586492,0.003076923076923077
4,City-C,T1,S7_Isotonic,1.0,2,1031.2953822316806,1134.8088828586492,0.0,0.0,234.8088828586492,0.003076923076923077
4,City-C,T1,S8_ConformalLCB,1.0,3,1250.8829024307615,1412.7016225663142,0.0,0.0,512.7016225663142,0.004615384615384616
4,City-C,T1,Q05,1.0,4,1081.5493116626608,1928.776542949814,0.0,0.0,1028.776542949814,0.006153846153846154
4,City-C,T1,Q10,1.0,3,967.5950233036723,1412.7016225663142,0.0,0.0,512.7016225663142,0.004615384615384616
4,City-C,T1,Q20,1.0,3,1120.2367468430475,1412.7016225663142,0.0,0.0,512.7016225663142,0.004615384615384616
4,City-C,T1,Q30,1.0,3,1231.0650687032935,1412.7016225663142,0.0,0.0,512.7016225663142,0.004615384615384616
4,City-C,T2,S1_CapRR,0.0,2,1439.5386200000003,961.5117678867875,338.48823211321246,0.33206948773157097,0.0,0.003076923076923077
4,City-C,T2,S4_GlobalCalib,1.0,3,1406.8752267669167,1391.8983524960536,0.0,0.01064548865877816,91.89835249605358,0.004615384615384616
