regime,p_req_level,strategy,tsr_pct_pooled,tsr_mean_across_seeds_pct,tsr_std_across_seeds_pct,tsr_min_across_seeds_pct,tsr_max_across_seeds_pct,n_success_cells,n_total_cells,n_seeds,wilson95_low_pct,wilson95_high_pct,mean_ocr,mean_shortfall_kw,mean_n_selected
routine,2x,S6_Q10,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.001898,0.0,1.0
routine,5x,S0a_RoutineOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.9355555555555555
routine,5x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,2.6
routine,5x,S1_CapRR,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.00666288888888889,0.19355555555555554,1.9333333333333333
routine,5x,S2_Platform,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,2.533333333333333
routine,5x,S3_Lin4,90.0,90.0,3.3903175181040472,86.66666666666667,93.33333333333333,405,450,30,86.88068660910818,92.44216788185416,0.025986,3.0633333333333335,2.033333333333333
routine,5x,S4_GlobalCalib,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.004814666666666667,0.19355555555555554,1.9333333333333333
routine,5x,S5_CityCalib,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.0051488888888888895,0.19355555555555554,1.9333333333333333
routine,5x,S6_Q10,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.0015457777777777779,0.19355555555555554,1.9333333333333333
routine,10x,S0a_RoutineOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,3.2711111111111113
routine,10x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,5.066666666666666
routine,10x,S1_CapRR,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.006212,0.33866666666666667,3.2666666666666666
routine,10x,S2_Platform,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,5.0
routine,10x,S3_Lin4,90.88888888888889,90.8888888888889,3.267550119023735,86.66666666666667,93.33333333333333,409,450,30,87.87275955163254,93.21282503912896,0.02132377777777778,0.95,3.466666666666667
routine,10x,S4_GlobalCalib,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.004337111111111111,0.33866666666666667,3.2666666666666666
routine,10x,S5_CityCalib,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.0046582222222222225,0.33866666666666667,3.2666666666666666
routine,10x,S6_Q10,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.0010815555555555554,0.33866666666666667,3.2666666666666666
cross_regime,1x,S0a_RoutineOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.34525799999999995,0.0,1.0
cross_regime,1x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.0
cross_regime,1x,S1_CapRR,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.34695266666666663,0.0,1.0
cross_regime,1x,S2_Platform,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.06170066666666667,0.0,1.0
cross_regime,1x,S3_Lin4,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.31458355555555556,0.0,1.0
cross_regime,1x,S4_GlobalCalib,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.3428688888888889,0.0,1.0
cross_regime,1x,S5_CityCalib,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.3431077777777778,0.0,1.0
cross_regime,1x,S6_Q10,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.33555,0.0,1.0
cross_regime,2x,S0a_RoutineOracle,80.0,80.0,0.0,80.0,80.0,360,450,30,76.05725078479408,83.43489008342769,0.34525799999999995,8.686444444444444,1.0
cross_regime,2x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.2
cross_regime,2x,S1_CapRR,80.0,80.0,0.0,80.0,80.0,360,450,30,76.05725078479408,83.43489008342769,0.34695266666666663,8.503555555555556,1.0
cross_regime,2x,S2_Platform,86.66666666666667,86.66666666666664,2.890758581290855e-14,86.66666666666667,86.66666666666667,390,450,30,83.21348903314136,89.49912758357412,0.062349777777777775,0.8771111111111111,1.1333333333333333
cross_regime,2x,S3_Lin4,80.0,80.0,0.0,80.0,80.0,360,450,30,76.05725078479408,83.43489008342769,0.31458355555555556,8.503555555555556,1.0
cross_regime,2x,S4_GlobalCalib,80.0,80.0,0.0,80.0,80.0,360,450,30,76.05725078479408,83.43489008342769,0.3428688888888889,8.503555555555556,1.0
cross_regime,2x,S5_CityCalib,80.0,80.0,0.0,80.0,80.0,360,450,30,76.05725078479408,83.43489008342769,0.3431077777777778,8.503555555555556,1.0
cross_regime,2x,S6_Q10,80.0,80.0,0.0,80.0,80.0,360,450,30,76.05725078479408,83.43489008342769,0.33555,8.503555555555556,1.0
cross_regime,5x,S0a_RoutineOracle,33.33333333333333,33.333333333333336,1.7507524381296338,26.666666666666668,40.0,150,450,30,29.135108277176773,37.813702351588915,0.3444055555555556,103.46400000000001,1.9355555555555555
cross_regime,5x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,2.6
cross_regime,5x,S1_CapRR,33.33333333333333,33.333333333333336,7.226896453227138e-15,33.33333333333333,33.33333333333333,150,450,30,29.135108277176773,37.813702351588915,0.346916,104.052,1.9333333333333333
cross_regime,5x,S2_Platform,80.0,80.0,0.0,80.0,80.0,360,450,30,76.05725078479408,83.43489008342769,0.06800555555555556,10.936666666666667,2.533333333333333
cross_regime,5x,S3_Lin4,46.666666666666664,46.66666666666668,1.4453792906454277e-14,46.666666666666664,46.666666666666664,210,450,30,42.10494149658446,51.28482062916868,0.3091055555555555,96.46822222222224,2.033333333333333
cross_regime,5x,S4_GlobalCalib,33.33333333333333,33.333333333333336,7.226896453227138e-15,33.33333333333333,33.33333333333333,150,450,30,29.135108277176773,37.813702351588915,0.34284111111111115,104.052,1.9333333333333333
cross_regime,5x,S5_CityCalib,33.33333333333333,33.333333333333336,7.226896453227138e-15,33.33333333333333,33.33333333333333,150,450,30,29.135108277176773,37.813702351588915,0.3430751111111111,104.052,1.9333333333333333
cross_regime,5x,S6_Q10,33.33333333333333,33.333333333333336,7.226896453227138e-15,33.33333333333333,33.33333333333333,150,450,30,29.135108277176773,37.813702351588915,0.3355102222222222,104.052,1.9333333333333333
cross_regime,10x,S0a_RoutineOracle,0.0,0.0,0.0,0.0,0.0,0,450,30,8.673617379884035e-17,0.8464318862970662,0.3444226666666667,446.9737777777778,3.2711111111111113
cross_regime,10x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,5.066666666666666
cross_regime,10x,S1_CapRR,0.0,0.0,0.0,0.0,0.0,0,450,30,8.673617379884035e-17,0.8464318862970662,0.3469262222222222,448.0693333333333,3.2666666666666666
